description,amount,category,type,date
Flat rent for the month of February today,11103,Rent,expense,2024-09-04
zoo entry tickets for family done,9416,Entertainment,expense,2026-01-30
family movie night at inox via UPI,6277,Entertainment,expense,2025-09-02
late night Pizza Hut order today,254,Food,expense,2025-12-29
Amusement park tickets for family,7682,Entertainment,expense,2025-11-19
BEHROUZ BIRYANI LUNCH ORDER - paid online,2686,Food,expense,2024-09-12
evening snacks at hotel restaurant done,2266,Food,expense,2023-09-18
Grocery shopping at local vegetable market,1424,Food,expense,2023-08-26
School fees paid,24537,Others,expense,2024-12-16
Train ticket booked to Ahmedabad via IRCTC confirmed,15094,Travel,expense,2023-04-04
WEEKEND MOVIE OUTING AT INOX,6977,Entertainment,expense,2025-07-15
cab fare to Delhi for business trip again,3353,Travel,expense,2025-05-24
Rent paid for January today,15578,Rent,expense,2025-12-29
salary credited for July 2025,134371,Salary,income,2024-04-23
New outfit purchased from Max Fashion completed,17494,Shopping,expense,2024-08-03
Movie tickets at PVR (cash),975,Entertainment,expense,2025-06-03
Flight ticket booking to Chennai,14078,Travel,expense,2024-11-11
vet bill for pet checkup this month,16588,Others,expense,2023-11-19
salary credited for november 2023,48327,Salary,income,2025-05-23
House rent for February again,48006,Rent,expense,2026-03-02
Amazon Prime Video subscription completed,859,Entertainment,expense,2023-08-23
Sold used books - payment received urgent,33558,Others,income,2025-11-24
Karaoke night with friends again,4980,Entertainment,expense,2025-08-07
flipkart shopping haul today,40462,Shopping,expense,2023-01-01
OTT platform subscription renewal again,7760,Entertainment,expense,2024-04-10
Auto rickshaw fare to college completed,1799,Travel,expense,2024-06-25
weekend movie outing at local multiplex completed,2531,Entertainment,expense,2023-01-30
NEW OUTFIT PURCHASED FROM WESTSIDE,20956,Shopping,expense,2024-03-26
late night Wow Momo order completed,1406,Food,expense,2023-05-18
Escape room booking with friends completed,4615,Entertainment,expense,2023-07-01
new phone purchase,1024,Shopping,expense,2023-01-10
purchased kids toys online via PhonePe,966,Shopping,expense,2026-04-18
family movie night at pvr via GPay,212,Entertainment,expense,2025-01-19
Warehouse rent paid for family,14942,Rent,expense,2024-11-30
Escape room booking with friends confirmed,615,Entertainment,expense,2023-01-31
Interest credited on savings account for family,39667,Others,income,2026-07-18
New gadget purchased at Reliance Digital - noted,26873,Shopping,expense,2023-12-23
donation to charity,10706,Others,expense,2025-03-03
Train ticket booked to Chennai via IRCTC confirmed,7333,Travel,expense,2026-02-17
Rent paid via bank transfer urgent,31075,Rent,expense,2024-03-30
Train ticket booked to Delhi via IRCTC done,15728,Travel,expense,2024-02-15
rent paid for december,26323,Rent,expense,2026-02-10
ott platform subscription renewal done,5283,Entertainment,expense,2024-07-12
Jio recharge,28982,Others,expense,2025-07-23
Weekend brunch at hotel restaurant,1259,Food,expense,2023-07-25
Rent paid for December again,42598,Rent,expense,2023-01-11
Hotstar subscription renewal completed,2719,Entertainment,expense,2026-02-27
house rent for may,16839,Rent,expense,2023-12-11
water park tickets purchased,1859,Entertainment,expense,2024-12-30
Cashback from credit card,26014,Others,income,2024-02-08
ORDERED BURGER FROM STARBUCKS,2853,Food,expense,2024-06-20
Freelance project payment received for family,4926,Others,income,2023-06-30
Courier delivery charges paid confirmed,19959,Others,expense,2026-03-02
Salary credited for July 2023 confirmed,148304,Salary,income,2024-05-07
weekend movie outing at inox done,1470,Entertainment,expense,2025-02-25
Contract job payment credited for family,151326,Salary,income,2023-08-30
Barista order for family again,1069,Food,expense,2024-08-20
Money received from friend for shared expense done,15923,Others,income,2024-07-04
Hotstar subscription renewal done,8655,Entertainment,expense,2023-04-12
Starbucks order for family,618,Food,expense,2024-07-15
WEEKEND MOVIE OUTING AT LOCAL MULTIPLEX,5195,Entertainment,expense,2024-02-06
rental income received from tenant (cash),34490,Others,income,2025-09-05
Pizza Hut order for family,1944,Food,expense,2026-01-31
Salary credited for December 2024 done,29492,Salary,income,2026-01-31
Bus ticket to Delhi done,4065,Travel,expense,2024-08-08
Winter clothes bought from Levis via GPay completed,25403,Shopping,expense,2024-03-24
Chaayos order for family again,1380,Food,expense,2024-10-15
Train ticket booked to Pune via IRCTC,10761,Travel,expense,2023-10-11
Starbucks food delivery again,1330,Food,expense,2024-10-18
YouTube Premium subscription confirmed,4626,Entertainment,expense,2023-02-07
